COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_PER,O_DEPENDENCY_PER,O_A0A14_A15A65_PER,O_A65UP_A15A64_PER,O_A65_A0A14_PER,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口比率,原住民人口扶養比,原住民人口扶幼比,原住民人口扶老比,原住民人口老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-030,純翠里,0.65,16.13,16.13,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-031,溪頭里,0.43,24,20,4,20,110Y12M
65000,新北市,65000010,板橋區,65000010-032,聯翠里,0.45,41.66,25,16.67,66.64,110Y12M
65000,新北市,65000010,板橋區,65000010-033,宏翠里,0.57,23.08,15.38,7.69,49.99,110Y12M
65000,新北市,65000010,板橋區,65000010-034,仁翠里,1.08,6.9,3.45,3.45,99.9,110Y12M
65000,新北市,65000010,板橋區,65000010-035,新翠里,0.59,36.11,30.55,5.56,18.18,110Y12M
65000,新北市,65000010,板橋區,65000010-036,吉翠里,0.94,33.33,25.92,7.41,28.57,110Y12M
65000,新北市,65000010,板橋區,65000010-037,德翠里,0.73,35,27.5,7.5,27.27,110Y12M
65000,新北市,65000010,板橋區,65000010-038,滿翠里,1.29,25.81,16.13,9.68,59.99,110Y12M
65000,新北市,65000010,板橋區,65000010-039,明翠里,0.59,27.27,22.73,4.55,20,110Y12M
65000,新北市,65000010,板橋區,65000010-040,松翠里,0.38,62.49,49.99,12.5,24.99,110Y12M
65000,新北市,65000010,板橋區,65000010-041,柏翠里,0.23,10,10,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-042,龍翠里,0.68,17.24,6.9,10.34,149.93,110Y12M
65000,新北市,65000010,板橋區,65000010-043,華翠里,0.5,63.63,54.54,9.09,16.66,110Y12M
65000,新北市,65000010,板橋區,65000010-044,忠翠里,0.37,11.11,5.56,5.56,99.95,110Y12M
65000,新北市,65000010,板橋區,65000010-045,嵐翠里,0.41,399.8,349.83,49.98,14.28,110Y12M
