COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A9_M_CNT,A0A9_F_CNT,A10A19_M_CNT,A10A19_F_CNT,A20A29_M_CNT,A20A29_F_CNT,A30A39_M_CNT,A30A39_F_CNT,A40A49_M_CNT,A40A49_F_CNT,A50A59_M_CNT,A50A59_F_CNT,A60A69_M_CNT,A60A69_F_CNT,A70A79_M_CNT,A70A79_F_CNT,A80A89_M_CNT,A80A89_F_CNT,A90A99_M_CNT,A90A99_F_CNT,A100UP_M_CNT,A100UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民0-9歲男性人口數,原住民0-9歲女性人口數,原住民10-19歲男性人口數,原住民10-19歲女性人口數,原住民20-29歲男性人口數,原住民20-29歲女性人口數,原住民30-39歲男性人口數,原住民30-39歲女性人口數,原住民40-49歲男性人口數,原住民40-49歲女性人口數,原住民50-59歲男性人口數,原住民50-59歲女性人口數,原住民60-69歲男性人口數,原住民60-69歲女性人口數,原住民70-79歲男性人口數,原住民70-79歲女性人口數,原住民80-89歲男性人口數,原住民80-89歲女性人口數,原住民90-99歲男性人口數,原住民90-99歲女性人口數,原住民100歲以上男性人口數,原住民100歲以上女性人口數,資料時間
65000,新北市,65000010,板橋區,65000010-100,溪北里,8,6,5,4,11,11,6,2,5,8,4,4,2,3,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-101,香雅里,0,1,2,1,0,3,6,3,0,2,0,3,0,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-102,新生里,5,3,5,1,2,4,4,5,5,5,2,0,2,3,0,1,0,1,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-103,文德里,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-104,文化里,0,3,1,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-105,新海里,2,2,0,2,1,0,0,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-106,莒光里,1,0,2,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-107,富貴里,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-108,正泰里,3,0,0,2,0,3,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-109,民生里,1,1,1,0,3,3,2,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,110Y12M
