sau_id,year,COUNTY,TOWN,VILLAGE,P_CNT,H_CNT,M_CNT,F_CNT,members
SAU_09020010-001,2019,金門縣,金城鎮,東門里,5718,1704,2822,2896,['09020010-001']
SAU_09020010-001,2020,金門縣,金城鎮,東門里,5624,1714,2789,2835,['09020010-001']
SAU_09020010-001,2021,金門縣,金城鎮,東門里,5565,1716,2755,2810,['09020010-001']
SAU_09020010-001,2022,金門縣,金城鎮,東門里,5495,1718,2706,2789,['09020010-001']
SAU_09020010-001,2023,金門縣,金城鎮,東門里,5541,1711,2730,2811,['09020010-001']
SAU_09020010-001,2024,金門縣,金城鎮,東門里,5477,1707,2711,2766,['09020010-001']
SAU_09020010-002,2018,金門縣,金城鎮,西門里,11501,3486,5606,5895,['09020010-002']
SAU_09020010-002,2019,金門縣,金城鎮,西門里,11356,3484,5550,5806,['09020010-002']
SAU_09020010-002,2020,金門縣,金城鎮,西門里,11257,3490,5504,5753,['09020010-002']
SAU_09020010-002,2021,金門縣,金城鎮,西門里,11156,3494,5458,5698,['09020010-002']
SAU_09020010-002,2022,金門縣,金城鎮,西門里,10927,3488,5319,5608,['09020010-002']
SAU_09020010-002,2023,金門縣,金城鎮,西門里,11056,3496,5372,5684,['09020010-002']
SAU_09020010-002,2024,金門縣,金城鎮,西門里,10821,3493,5241,5580,['09020010-002']
SAU_09020010-003,2018,金門縣,金城鎮,南門里,6302,1911,3078,3224,['09020010-003']
SAU_09020010-003,2019,金門縣,金城鎮,南門里,6237,1902,3048,3189,['09020010-003']
SAU_09020010-003,2020,金門縣,金城鎮,南門里,6144,1929,3013,3131,['09020010-003']
SAU_09020010-003,2021,金門縣,金城鎮,南門里,6071,1919,2979,3092,['09020010-003']
SAU_09020010-003,2022,金門縣,金城鎮,南門里,5976,1880,2933,3043,['09020010-003']
SAU_09020010-003,2023,金門縣,金城鎮,南門里,6084,1893,3000,3084,['09020010-003']
SAU_09020010-003,2024,金門縣,金城鎮,南門里,5991,1924,2958,3033,['09020010-003']
SAU_09020010-004,2018,金門縣,金城鎮,北門里,4698,1418,2414,2284,['09020010-004']
SAU_09020010-004,2019,金門縣,金城鎮,北門里,4655,1407,2383,2272,['09020010-004']
SAU_09020010-004,2020,金門縣,金城鎮,北門里,4554,1382,2336,2218,['09020010-004']
SAU_09020010-004,2021,金門縣,金城鎮,北門里,4480,1391,2287,2193,['09020010-004']
SAU_09020010-004,2022,金門縣,金城鎮,北門里,4304,1373,2190,2114,['09020010-004']
SAU_09020010-004,2023,金門縣,金城鎮,北門里,4431,1390,2269,2162,['09020010-004']
SAU_09020010-004,2024,金門縣,金城鎮,北門里,4388,1412,2241,2147,['09020010-004']
SAU_09020010-005,2018,金門縣,金城鎮,古城里,4315,1287,2155,2160,['09020010-005']
SAU_09020010-005,2019,金門縣,金城鎮,古城里,4404,1330,2197,2207,['09020010-005']
SAU_09020010-005,2020,金門縣,金城鎮,古城里,4513,1383,2269,2244,['09020010-005']
SAU_09020010-005,2021,金門縣,金城鎮,古城里,4535,1419,2269,2266,['09020010-005']
SAU_09020010-005,2022,金門縣,金城鎮,古城里,4541,1426,2263,2278,['09020010-005']
SAU_09020010-005,2023,金門縣,金城鎮,古城里,4632,1454,2307,2325,['09020010-005']
SAU_09020010-005,2024,金門縣,金城鎮,古城里,4669,1487,2326,2343,['09020010-005']
SAU_09020010-006,2018,金門縣,金城鎮,金水里,2348,695,1210,1138,['09020010-006']
SAU_09020010-006,2019,金門縣,金城鎮,金水里,2413,710,1271,1142,['09020010-006']
SAU_09020010-006,2020,金門縣,金城鎮,金水里,2408,726,1260,1148,['09020010-006']
SAU_09020010-006,2021,金門縣,金城鎮,金水里,2432,735,1253,1179,['09020010-006']
SAU_09020010-006,2022,金門縣,金城鎮,金水里,2452,739,1263,1189,['09020010-006']
SAU_09020010-006,2023,金門縣,金城鎮,金水里,2476,759,1273,1203,['09020010-006']
SAU_09020010-006,2024,金門縣,金城鎮,金水里,2499,782,1283,1216,['09020010-006']
SAU_09020010-007,2018,金門縣,金城鎮,珠沙里,3164,959,1600,1564,['09020010-007']
SAU_09020010-007,2019,金門縣,金城鎮,珠沙里,3159,977,1590,1569,['09020010-007']
SAU_09020010-007,2020,金門縣,金城鎮,珠沙里,3184,994,1599,1585,['09020010-007']
SAU_09020010-007,2021,金門縣,金城鎮,珠沙里,3215,1029,1607,1608,['09020010-007']
SAU_09020010-007,2022,金門縣,金城鎮,珠沙里,3208,1018,1586,1622,['09020010-007']
SAU_09020010-007,2023,金門縣,金城鎮,珠沙里,3342,1051,1654,1688,['09020010-007']
SAU_09020010-007,2024,金門縣,金城鎮,珠沙里,3340,1077,1656,1684,['09020010-007']
SAU_09020010-008,2018,金門縣,金城鎮,賢庵里,5195,1537,2641,2554,['09020010-008']
SAU_09020010-008,2019,金門縣,金城鎮,賢庵里,5311,1556,2704,2607,['09020010-008']
SAU_09020010-008,2020,金門縣,金城鎮,賢庵里,5316,1554,2706,2610,['09020010-008']
SAU_09020010-008,2021,金門縣,金城鎮,賢庵里,5391,1594,2719,2672,['09020010-008']
SAU_09020010-008,2022,金門縣,金城鎮,賢庵里,5439,1619,2710,2729,['09020010-008']
SAU_09020010-008,2023,金門縣,金城鎮,賢庵里,5630,1657,2830,2800,['09020010-008']
SAU_09020010-008,2024,金門縣,金城鎮,賢庵里,5534,1704,2772,2762,['09020010-008']
SAU_09020020-001,2018,金門縣,金沙鎮,汶沙里,5841,1824,2894,2947,['09020020-001']
SAU_09020020-001,2019,金門縣,金沙鎮,汶沙里,5807,1824,2875,2932,['09020020-001']
SAU_09020020-001,2020,金門縣,金沙鎮,汶沙里,5751,1827,2828,2923,['09020020-001']
SAU_09020020-001,2021,金門縣,金沙鎮,汶沙里,5718,1841,2808,2910,['09020020-001']
SAU_09020020-001,2022,金門縣,金沙鎮,汶沙里,5637,1836,2758,2879,['09020020-001']
SAU_09020020-001,2023,金門縣,金沙鎮,汶沙里,5650,1841,2769,2881,['09020020-001']
SAU_09020020-001,2024,金門縣,金沙鎮,汶沙里,5551,1884,2706,2845,['09020020-001']
SAU_09020020-002,2018,金門縣,金沙鎮,三山里,2062,641,1016,1046,['09020020-002']
SAU_09020020-002,2019,金門縣,金沙鎮,三山里,2106,649,1035,1071,['09020020-002']
SAU_09020020-002,2020,金門縣,金沙鎮,三山里,2084,641,1033,1051,['09020020-002']
SAU_09020020-002,2021,金門縣,金沙鎮,三山里,2110,646,1055,1055,['09020020-002']
SAU_09020020-002,2022,金門縣,金沙鎮,三山里,2079,643,1020,1059,['09020020-002']
SAU_09020020-002,2023,金門縣,金沙鎮,三山里,2103,654,1032,1071,['09020020-002']
SAU_09020020-002,2024,金門縣,金沙鎮,三山里,2086,665,1025,1061,['09020020-002']
SAU_09020020-003,2018,金門縣,金沙鎮,大洋里,1266,408,636,630,['09020020-003']
SAU_09020020-003,2019,金門縣,金沙鎮,大洋里,1268,408,636,632,['09020020-003']
