sau_id,year,COUNTY,TOWN,VILLAGE,H_CNT,P_CNT,M_CNT,F_CNT,members
SAU_09020030-004,2021,金門縣,金湖鎮,料羅里,656,2394,1256,1138,['09020030-004']
SAU_09020030-004,2022,金門縣,金湖鎮,料羅里,677,2443,1284,1159,['09020030-004']
SAU_09020030-004,2023,金門縣,金湖鎮,料羅里,706,2540,1328,1212,['09020030-004']
SAU_09020030-004,2024,金門縣,金湖鎮,料羅里,732,2540,1346,1194,['09020030-004']
SAU_09020030-005,2020,金門縣,金湖鎮,瓊林里,1099,3714,1846,1868,['09020030-005']
SAU_09020030-005,2021,金門縣,金湖鎮,瓊林里,1113,3760,1850,1910,['09020030-005']
SAU_09020030-005,2022,金門縣,金湖鎮,瓊林里,1139,3809,1856,1953,['09020030-005']
SAU_09020030-005,2023,金門縣,金湖鎮,瓊林里,1149,3958,1917,2041,['09020030-005']
SAU_09020030-005,2024,金門縣,金湖鎮,瓊林里,1170,3922,1887,2035,['09020030-005']
SAU_09020030-006,2020,金門縣,金湖鎮,新湖里,3053,9392,4736,4656,['09020030-006']
SAU_09020030-006,2021,金門縣,金湖鎮,新湖里,3135,9508,4781,4727,['09020030-006']
SAU_09020030-006,2022,金門縣,金湖鎮,新湖里,3206,9483,4729,4754,['09020030-006']
SAU_09020030-006,2023,金門縣,金湖鎮,新湖里,3288,9631,4815,4816,['09020030-006']
SAU_09020030-006,2024,金門縣,金湖鎮,新湖里,3443,9780,4889,4891,['09020030-006']
SAU_09020030-007,2020,金門縣,金湖鎮,溪湖里,524,1748,874,874,['09020030-007']
SAU_09020030-007,2021,金門縣,金湖鎮,溪湖里,528,1757,868,889,['09020030-007']
SAU_09020030-007,2022,金門縣,金湖鎮,溪湖里,533,1747,850,897,['09020030-007']
SAU_09020030-007,2023,金門縣,金湖鎮,溪湖里,551,1846,903,943,['09020030-007']
SAU_09020030-007,2024,金門縣,金湖鎮,溪湖里,557,1841,905,936,['09020030-007']
SAU_09020030-008,2020,金門縣,金湖鎮,蓮庵里,588,1880,906,974,['09020030-008']
SAU_09020030-008,2021,金門縣,金湖鎮,蓮庵里,595,1914,931,983,['09020030-008']
SAU_09020030-008,2022,金門縣,金湖鎮,蓮庵里,595,1943,948,995,['09020030-008']
SAU_09020030-008,2023,金門縣,金湖鎮,蓮庵里,614,1969,962,1007,['09020030-008']
SAU_09020030-008,2024,金門縣,金湖鎮,蓮庵里,622,1919,922,997,['09020030-008']
SAU_09020040-001,2020,金門縣,金寧鄉,古寧村,1099,3668,1796,1872,['09020040-001']
SAU_09020040-001,2021,金門縣,金寧鄉,古寧村,1114,3663,1789,1874,['09020040-001']
SAU_09020040-001,2022,金門縣,金寧鄉,古寧村,1115,3672,1782,1890,['09020040-001']
SAU_09020040-001,2023,金門縣,金寧鄉,古寧村,1118,3672,1775,1897,['09020040-001']
SAU_09020040-001,2024,金門縣,金寧鄉,古寧村,1134,3615,1746,1869,['09020040-001']
SAU_09020040-002,2020,金門縣,金寧鄉,安美村,1703,5541,2796,2745,['09020040-002']
SAU_09020040-002,2021,金門縣,金寧鄉,安美村,1819,5782,2935,2847,['09020040-002']
SAU_09020040-002,2022,金門縣,金寧鄉,安美村,1892,5893,2982,2911,['09020040-002']
SAU_09020040-002,2023,金門縣,金寧鄉,安美村,2014,6180,3122,3058,['09020040-002']
SAU_09020040-002,2024,金門縣,金寧鄉,安美村,2146,6464,3241,3223,['09020040-002']
SAU_09020040-003,2020,金門縣,金寧鄉,后盤村,557,1812,881,931,['09020040-003']
SAU_09020040-003,2021,金門縣,金寧鄉,后盤村,588,1857,905,952,['09020040-003']
SAU_09020040-003,2022,金門縣,金寧鄉,后盤村,609,1928,932,996,['09020040-003']
SAU_09020040-003,2023,金門縣,金寧鄉,后盤村,628,2020,981,1039,['09020040-003']
SAU_09020040-003,2024,金門縣,金寧鄉,后盤村,681,2094,1024,1070,['09020040-003']
SAU_09020040-004,2020,金門縣,金寧鄉,湖埔村,2348,8682,4516,4166,['09020040-004']
SAU_09020040-004,2021,金門縣,金寧鄉,湖埔村,2498,8998,4617,4381,['09020040-004']
SAU_09020040-004,2022,金門縣,金寧鄉,湖埔村,2531,9093,4665,4428,['09020040-004']
SAU_09020040-004,2023,金門縣,金寧鄉,湖埔村,2642,9352,4828,4524,['09020040-004']
SAU_09020040-004,2024,金門縣,金寧鄉,湖埔村,2798,9441,4879,4562,['09020040-004']
SAU_09020040-005,2020,金門縣,金寧鄉,榜林村,1786,5935,2974,2961,['09020040-005']
SAU_09020040-005,2021,金門縣,金寧鄉,榜林村,1858,6008,2993,3015,['09020040-005']
SAU_09020040-005,2022,金門縣,金寧鄉,榜林村,1889,6017,2955,3062,['09020040-005']
SAU_09020040-005,2023,金門縣,金寧鄉,榜林村,1914,6200,3053,3147,['09020040-005']
SAU_09020040-005,2024,金門縣,金寧鄉,榜林村,1997,6255,3073,3182,['09020040-005']
SAU_09020040-006,2020,金門縣,金寧鄉,盤山村,1890,7432,3640,3792,['09020040-006']
SAU_09020040-006,2021,金門縣,金寧鄉,盤山村,1966,7593,3759,3834,['09020040-006']
SAU_09020040-006,2022,金門縣,金寧鄉,盤山村,2015,7722,3818,3904,['09020040-006']
SAU_09020040-006,2023,金門縣,金寧鄉,盤山村,2103,7976,3916,4060,['09020040-006']
SAU_09020040-006,2024,金門縣,金寧鄉,盤山村,2210,7940,3899,4041,['09020040-006']
SAU_09020050-001,2020,金門縣,烈嶼鄉,上岐村,746,3089,1492,1597,['09020050-001']
SAU_09020050-001,2021,金門縣,烈嶼鄉,上岐村,754,3116,1512,1604,['09020050-001']
SAU_09020050-001,2022,金門縣,烈嶼鄉,上岐村,759,3069,1464,1605,['09020050-001']
SAU_09020050-001,2023,金門縣,烈嶼鄉,上岐村,768,3097,1471,1626,['09020050-001']
SAU_09020050-001,2024,金門縣,烈嶼鄉,上岐村,787,3067,1455,1612,['09020050-001']
SAU_09020050-002,2020,金門縣,烈嶼鄉,上林村,428,1545,738,807,['09020050-002']
SAU_09020050-002,2021,金門縣,烈嶼鄉,上林村,431,1537,734,803,['09020050-002']
SAU_09020050-002,2022,金門縣,烈嶼鄉,上林村,436,1569,744,825,['09020050-002']
SAU_09020050-002,2023,金門縣,烈嶼鄉,上林村,435,1563,753,810,['09020050-002']
SAU_09020050-002,2024,金門縣,烈嶼鄉,上林村,445,1551,752,799,['09020050-002']
SAU_09020050-003,2020,金門縣,烈嶼鄉,西口村,667,2622,1277,1345,['09020050-003']
SAU_09020050-003,2021,金門縣,烈嶼鄉,西口村,680,2594,1258,1336,['09020050-003']
SAU_09020050-003,2022,金門縣,烈嶼鄉,西口村,672,2569,1255,1314,['09020050-003']
SAU_09020050-003,2023,金門縣,烈嶼鄉,西口村,671,2591,1266,1325,['09020050-003']
SAU_09020050-003,2024,金門縣,烈嶼鄉,西口村,685,2517,1233,1284,['09020050-003']
SAU_09020050-004,2020,金門縣,烈嶼鄉,林湖村,955,3686,1964,1722,['09020050-004']
SAU_09020050-004,2021,金門縣,烈嶼鄉,林湖村,954,3672,1971,1701,['09020050-004']
SAU_09020050-004,2022,金門縣,烈嶼鄉,林湖村,947,3625,1928,1697,['09020050-004']
SAU_09020050-004,2023,金門縣,烈嶼鄉,林湖村,961,3669,1931,1738,['09020050-004']
SAU_09020050-004,2024,金門縣,烈嶼鄉,林湖村,996,3593,1878,1715,['09020050-004']
SAU_09020050-005,2020,金門縣,烈嶼鄉,黃埔村,439,1791,858,933,['09020050-005']
SAU_09020050-005,2021,金門縣,烈嶼鄉,黃埔村,449,1824,875,949,['09020050-005']
SAU_09020050-005,2022,金門縣,烈嶼鄉,黃埔村,449,1817,872,945,['09020050-005']
SAU_09020050-005,2023,金門縣,烈嶼鄉,黃埔村,455,1846,893,953,['09020050-005']
SAU_09020050-005,2024,金門縣,烈嶼鄉,黃埔村,464,1810,866,944,['09020050-005']
SAU_09020060-001,2020,金門縣,烏坵鄉,大坵村,52,306,163,143,['09020060-001']
SAU_09020060-001,2021,金門縣,烏坵鄉,大坵村,51,312,167,145,['09020060-001']
