COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_CNT,O_M_CNT,O_F_CNT,O1_CNT,O1_M_CNT,O1_F_CNT,O2_CNT,O2_M_CNT,O2_F_CNT,NON_O_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口數,原住民男性人口數,原住民女性人口數,平地原住民人口數,平地原住民男性人口數,平地原住民女性人口數,山地原住民人口數,山地原住民男性人口數,山地原住民女性人口數,非原住民人口數,資料時間
65000,新北市,65000010,板橋區,65000010-101,香雅里,14,5,9,7,0,7,7,5,2,2766,111Y12M
65000,新北市,65000010,板橋區,65000010-102,新生里,48,24,24,29,10,19,19,14,5,4254,111Y12M
65000,新北市,65000010,板橋區,65000010-103,文德里,9,2,7,5,2,3,4,0,4,3145,111Y12M
65000,新北市,65000010,板橋區,65000010-104,文化里,22,9,13,14,7,7,8,2,6,3331,111Y12M
65000,新北市,65000010,板橋區,65000010-105,新海里,18,6,12,14,4,10,4,2,2,3396,111Y12M
65000,新北市,65000010,板橋區,65000010-106,莒光里,9,5,4,6,3,3,3,2,1,2785,111Y12M
65000,新北市,65000010,板橋區,65000010-107,富貴里,2,1,1,1,1,0,1,0,1,2268,111Y12M
65000,新北市,65000010,板橋區,65000010-108,正泰里,12,4,8,8,3,5,4,1,3,2993,111Y12M
65000,新北市,65000010,板橋區,65000010-109,民生里,14,7,7,8,4,4,6,3,3,2298,111Y12M
65000,新北市,65000010,板橋區,65000010-110,後埔里,23,8,15,18,6,12,5,2,3,3760,111Y12M
65000,新北市,65000010,板橋區,65000010-111,華福里,11,1,10,7,1,6,4,0,4,1957,111Y12M
65000,新北市,65000010,板橋區,65000010-112,堂春里,79,35,44,63,29,34,16,6,10,4270,111Y12M
65000,新北市,65000010,板橋區,65000010-113,成和里,131,58,73,94,38,56,37,20,17,7267,111Y12M
65000,新北市,65000010,板橋區,65000010-114,光榮里,27,13,14,16,7,9,11,6,5,2501,111Y12M
65000,新北市,65000010,板橋區,65000010-115,民安里,7,2,5,2,1,1,5,1,4,2129,111Y12M
65000,新北市,65000010,板橋區,65000010-116,陽明里,4,3,1,3,3,0,1,0,1,2663,111Y12M
65000,新北市,65000010,板橋區,65000010-117,朝陽里,30,15,15,22,11,11,8,4,4,3380,111Y12M
