COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
65000,新北市,65000020,三重區,65000020-031,大安里,131,70,61,1218,634,584,322,138,184,112Y12M
65000,新北市,65000020,三重區,65000020-032,仁德里,127,57,70,1301,658,643,489,226,263,112Y12M
65000,新北市,65000020,三重區,65000020-033,忠孝里,182,95,87,1244,598,646,391,171,220,112Y12M
65000,新北市,65000020,三重區,65000020-034,仁義里,135,80,55,1065,544,521,250,100,150,112Y12M
65000,新北市,65000020,三重區,65000020-035,光榮里,100,46,54,992,503,489,309,145,164,112Y12M
65000,新北市,65000020,三重區,65000020-036,光輝里,127,62,65,1009,507,502,337,153,184,112Y12M
65000,新北市,65000020,三重區,65000020-037,福星里,81,42,39,886,454,432,244,83,161,112Y12M
65000,新北市,65000020,三重區,65000020-038,福利里,204,101,103,1724,791,933,367,149,218,112Y12M
65000,新北市,65000020,三重區,65000020-039,清和里,287,146,141,3062,1448,1614,738,315,423,112Y12M
65000,新北市,65000020,三重區,65000020-040,永興里,137,72,65,1086,498,588,316,141,175,112Y12M
65000,新北市,65000020,三重區,65000020-041,中山里,251,129,122,1895,949,946,573,266,307,112Y12M
65000,新北市,65000020,三重區,65000020-042,大園里,352,180,172,1947,985,962,536,233,303,112Y12M
65000,新北市,65000020,三重區,65000020-043,國隆里,269,136,133,2157,1079,1078,527,221,306,112Y12M
65000,新北市,65000020,三重區,65000020-044,重陽里,320,164,156,2481,1249,1232,715,311,404,112Y12M
65000,新北市,65000020,三重區,65000020-045,民生里,436,226,210,3055,1519,1536,867,399,468,112Y12M
65000,新北市,65000020,三重區,65000020-046,重新里,124,63,61,1025,506,519,370,162,208,112Y12M
